SITE ID,Lat,Long,STREET ADDRESS,TOWN,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME
113680,41.54195037,-72.80621705,60 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113682,41.54203797,-72.80643069,64 Springdale Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113688,41.54201518,-72.80685539,129 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113698,41.5411363,-72.80725065,95 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113700,41.54098003,-72.8073175,89 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113702,41.54085883,-72.80736171,85 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113704,41.54072229,-72.8074201,81 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113706,41.5405859,-72.80750778,71 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113708,41.54047635,-72.80753419,69 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113710,41.5402728,-72.80758731,65 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113712,41.54022184,-72.80764993,59 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113714,41.54009734,-72.80771027,55 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113718,41.53978108,-72.80782988,43 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113720,41.539073,-72.808081,19 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113722,41.53967795,-72.80788449,39 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Single-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113724,41.53957473,-72.80795028,35 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
113728,41.53929104,-72.8080844,21 Goodwill Ave,Meriden,Ct,Lead Status Unknown,Multi-Family Residence,Ct0800011_Lcrr_Inventory_Initial_10.15.24.Xlsx,,,Ct0800011,True,Ct0800011,Meriden Water Division
